ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Year,Date,Month,Day,Hour,Weekday,Time_Duration(min)
A-512240,MapQuest,201.0,Low,2019-12-25 23:14:22,2019-12-26 01:04:38,43.02824,-83.719643,,,0.0,Accident on Milbourne Ave at Clement St.,2401.0,Clement St,L,Flint,Genesee,MI,48504-7353,US,US/Eastern,KFNT,2019-12-25 22:53:00,33.0,33.0,89.0,29.15,6.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,23,Wed,110.0
A-512241,MapQuest,201.0,Low,2019-12-25 00:20:27,2019-12-25 01:32:05,43.093609,-73.52877,,,0.0,Lane blocked due to accident on NY-29 both ways at NY-40.,516.0,State Route 29,R,Greenwich,Washington,NY,12834-4221,US,US/Eastern,KGFL,2019-12-25 00:53:00,17.0,17.0,88.0,29.86,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,0,Wed,72.0
A-512242,MapQuest,201.0,High,2019-12-25 16:21:20,2019-12-25 17:05:40,43.327518,-73.68463100000002,,,1.71000003815,Accident on exit ramp from I-87 Southbound at Exit 19 to Aviation Rd.,72.0,Abbey Ln,L,Queensbury,Warren,NY,12804,US,US/Eastern,KGFL,2019-12-25 15:53:00,33.0,33.0,54.0,29.77,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,16,Wed,44.0
A-512243,MapQuest,201.0,High,2019-12-25 07:13:20,2019-12-25 09:37:22,42.393494,-73.82674399999998,,,17.2000007629,Accident on I-87 Northbound between Exit 21 CR-23B and Exit 21B US-9W.,12692.0,State Route 9W,R,West Coxsackie,Greene,NY,12192-1711,US,US/Eastern,KALB,2019-12-25 06:51:00,22.0,22.0,82.0,29.92,10.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2019,2019-12-25,Dec,25,7,Wed,144.0
A-512244,MapQuest,201.0,High,2019-12-25 07:38:29,2019-12-25 18:31:33,42.75098,-73.87093399999998,,,2.17000007629,Right lane closed due to accident on NY-5 Central Ave both ways between Lombard St and Lisha Kill Rd.,2058.0,Central Ave,L,Albany,Albany,NY,12205-4435,US,US/Eastern,KALB,2019-12-25 07:51:00,20.0,20.0,81.0,29.92,10.0,Calm,0.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,7,Wed,653.0
A-512245,MapQuest,201.0,Low,2019-12-25 09:40:43,2019-12-25 12:25:14,41.776436,-73.768097,,,0.0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound after US-44.,,Taconic State Pkwy,R,Salt Point,Dutchess,NY,12578,US,US/Eastern,KPOU,2019-12-25 09:53:00,30.0,30.0,66.0,30.06,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,9,Wed,165.0
A-512246,MapQuest,244.0,Low,2019-12-25 12:15:17,2019-12-25 14:49:10,42.89238,-73.861763,,,0.0,Shoulder blocked due to accident on NY-146A Ballston Lake Rd at Waite Rd.,894.0,Waite Rd,L,Ballston Lake,Saratoga,NY,12019,US,US/Eastern,KSCH,2019-12-25 09:53:00,35.631578947368425,33.28947368421053,72.5,29.841315789473683,9.789473684210526,Calm,3.210526315789473,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,12,Wed,154.0
A-512247,MapQuest,201.0,Low,2019-12-25 15:08:40,2019-12-25 16:08:07,41.776436,-73.768097,,,0.0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound before US-44.,,Taconic State Pkwy,R,Salt Point,Dutchess,NY,12578,US,US/Eastern,KPOU,2019-12-25 14:53:00,40.0,40.0,49.0,29.95,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,15,Wed,59.0
A-512248,MapQuest,201.0,Low,2019-12-25 21:15:44,2019-12-25 22:24:28,42.340832,-75.402893,,,0.0,Single alternate line traffic due to accident on NY-8 at CR-35.,2690.0,County Road 35,R,Bainbridge,Chenango,NY,13733-3339,US,US/Eastern,KBGM,2019-12-25 20:53:00,35.0,31.0,64.0,28.32,10.0,South,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,21,Wed,69.0
A-512249,MapQuest,241.0,High,2019-12-25 22:14:16,2019-12-25 22:43:35,42.706902,-74.31482700000002,,,0.0,Lane blocked due to accident on I-88 Westbound at Exit 23 NY-30A.,,I-88 W,R,Howes Cave,Schoharie,NY,12092,US,US/Eastern,KSCH,2019-12-25 20:53:00,35.631578947368425,33.28947368421053,72.5,29.841315789473683,9.789473684210526,South,3.210526315789473,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,22,Wed,29.0
A-512250,MapQuest,201.0,Low,2019-12-25 06:11:06,2019-12-25 06:55:30,42.961273,-85.67684200000002,,,0.0,Right lane blocked due to accident on US-131 Southbound at Exit 85A Market Ave.,,US-131 S,R,Grand Rapids,Kent,MI,49503,US,US/Eastern,KGRR,2019-12-25 05:53:00,32.0,26.0,88.0,28.96,4.0,South,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,6,Wed,44.0
A-512251,MapQuest,201.0,Low,2019-12-25 10:21:13,2019-12-25 11:35:53,43.08652100000001,-77.518127,,,0.0,Accident on NY-252 Jefferson Rd at NY-96 Main St.,1.0,W Jefferson Rd,L,Pittsford,Monroe,NY,14534-1901,US,US/Eastern,KROC,2019-12-25 09:54:00,35.0,31.0,72.0,29.47,10.0,SW,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,10,Wed,75.0
A-512252,MapQuest,201.0,Low,2019-12-25 13:34:56,2019-12-25 14:34:09,43.180931,-77.639488,,,0.0,Accident on Driving Park Ave near Dewey Ave.,356.0,Driving Park Ave,R,Rochester,Monroe,NY,14613-1930,US,US/Eastern,KROC,2019-12-25 13:54:00,46.0,46.0,56.0,29.41,10.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,59.0
A-512253,MapQuest,201.0,Low,2019-12-25 13:35:53,2019-12-25 14:35:31,43.206818,-77.675682,,,0.0,Accident on NY-390 Northbound at Exits 24 24A 24B NY-104 Ridge Rd.,1820.0,W Ridge Rd,R,Rochester,Monroe,NY,14615-2505,US,US/Eastern,KROC,2019-12-25 13:54:00,46.0,46.0,56.0,29.41,10.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,60.0
A-512254,MapQuest,201.0,Low,2019-12-25 15:58:31,2019-12-25 16:58:15,43.152962,-77.628937,,,0.0,Accident on New York St near Jefferson Ave.,111.0,Jefferson Ave,R,Rochester,Monroe,NY,14611-2330,US,US/Eastern,KROC,2019-12-25 15:54:00,40.0,35.0,70.0,29.42,10.0,NNE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,15,Wed,60.0
A-512255,MapQuest,201.0,Low,2019-12-25 16:22:17,2019-12-25 17:39:30,43.18803,-77.815033,,,0.0,Accident on Grey Wolf Dr near Eagle Feather Cir.,8.0,Grey Wolf Dr,R,Spencerport,Monroe,NY,14559-1463,US,US/Eastern,KROC,2019-12-25 15:54:00,40.0,35.0,70.0,29.42,10.0,NNE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,16,Wed,77.0
A-512256,MapQuest,201.0,Low,2019-12-25 16:23:18,2019-12-25 17:39:34,43.159382,-77.626953,,,0.0,Accident on NY-31 Broad St at Jay St.,652.0,W Broad St,R,Rochester,Monroe,NY,14608-1542,US,US/Eastern,KROC,2019-12-25 15:54:00,40.0,35.0,70.0,29.42,10.0,NNE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,16,Wed,76.0
A-512257,MapQuest,201.0,Low,2019-12-25 16:55:42,2019-12-25 17:40:27,43.206818,-77.675682,,,0.0,Accident on NY-390 Northbound at Exits 24 24A 24B NY-104 Ridge Rd.,1820.0,W Ridge Rd,R,Rochester,Monroe,NY,14615-2505,US,US/Eastern,KROC,2019-12-25 16:54:00,36.0,28.0,89.0,29.45,9.0,NNE,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2019,2019-12-25,Dec,25,16,Wed,45.0
A-512258,MapQuest,201.0,Low,2019-12-25 19:42:50,2019-12-26 00:39:22,43.049862,-76.119164,,,0.0,Right lane blocked due to accident on NY-5 Erie Blvd Westbound at Lombard Ave.,1744.0,Erie Blvd E,R,Syracuse,Onondaga,NY,13210-1245,US,US/Eastern,KSYR,2019-12-25 19:54:00,35.0,29.0,64.0,29.64,10.0,ENE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,19,Wed,297.0
A-512259,MapQuest,201.0,Low,2019-12-25 20:40:49,2019-12-25 22:17:40,43.108742,-77.86945300000002,,,0.0,Accident on NY-33 Buffalo St at NY-36 Washington St.,140.0,E Buffalo St,L,Churchville,Monroe,NY,14428-9723,US,US/Eastern,KROC,2019-12-25 20:54:00,34.0,34.0,92.0,29.47,4.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,20,Wed,97.0
A-512260,MapQuest,201.0,Low,2019-12-24 18:44:09,2019-12-25 06:53:00,39.983459,-75.01709,,,0.0,Right and center lane closed due to accident and fallen power cables on US-130 Crescent Blvd Southbound at NJ-73.,2102.0,Route 73,L,Pennsauken,Camden,NJ,08110-1220,US,US/Eastern,KPNE,2019-12-24 18:54:00,39.0,35.0,55.0,30.04,10.0,NE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-24,Dec,24,18,Tue,729.0
A-512261,MapQuest,246.0,High,2019-12-24 21:02:52,2019-12-25 01:32:03,40.79789,-74.264977,,,1.1399999856899998,Three lanes blocked due to accident on I-280 Westbound from Exits 8A 8B CR-577 Prospect Ave to Exit 7 CR-636 Pleasant Valley Way.,,I-280 W,R,West Orange,Essex,NJ,07052,US,US/Eastern,KCDW,2019-12-24 20:53:00,34.0,34.0,52.0,30.02,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-24,Dec,24,21,Tue,269.0
A-512262,MapQuest,201.0,High,2019-12-25 01:05:41,2019-12-25 02:20:20,40.022789,-75.03613299999998,,,0.0,Restrictions due to accident on I-95 Northbound at Exit 30 State Rd.,,I-95 N,R,Philadelphia,Philadelphia,PA,19135,US,US/Eastern,KPNE,2019-12-25 00:54:00,33.0,29.0,54.0,30.06,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,1,Wed,75.0
A-512263,MapQuest,201.0,Low,2019-12-25 01:25:10,2019-12-25 02:41:17,39.964149,-74.20723000000002,,,0.0,Accident on US-9 Garden State Pkwy at Exits 82 82A NJ-37.,,Route 37 W,R,Toms River,Ocean,NJ,08755,US,US/Eastern,KMJX,2019-12-25 00:56:00,21.0,21.0,100.0,30.09,10.0,North,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,1,Wed,76.0
A-512264,MapQuest,241.0,Low,2019-12-25 01:35:32,2019-12-25 02:36:56,40.686638,-73.614708,,,0.0,Left & center lane blocked due to accident on Southern Pkwy Eastbound at Exits 20N 20S Grand Ave.,484.0,Baldwin Rd,R,Hempstead,Nassau,NY,11550-7639,US,US/Eastern,KJFK,2019-12-25 01:51:00,31.0,24.0,76.0,30.18,10.0,North,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,1,Wed,61.0
A-512265,MapQuest,245.0,Low,2019-12-25 02:46:05,2019-12-25 03:30:37,40.832645,-73.95034799999998,,,0.0,Two lanes blocked due to accident on NY-9A Henry Hudson Pkwy Southbound at Exit 13 158th St.,,Henry Hudson Pkwy S,R,New York,New York,NY,10031,US,US/Eastern,KNYC,2019-12-25 02:51:00,35.0,31.0,50.0,30.04,10.0,Variable,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,2,Wed,45.0
A-512266,MapQuest,241.0,High,2019-12-25 03:33:49,2019-12-25 08:07:15,40.712227,-73.954559,,,0.0,Right lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 32 Rodney St.,,Brooklyn Queens Expy,R,Brooklyn,Kings,NY,11211,US,US/Eastern,KJRB,2019-12-25 03:51:00,35.0,30.0,48.0,30.05,10.0,NE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,3,Wed,273.0
A-512267,MapQuest,201.0,High,2019-12-25 04:02:03,2019-12-25 05:47:26,40.00531,-75.197197,,,0.129999995232,Entry ramp to I-76 Southbound from US-1 Eastbound restrictions on entry ramp due to accident.,,US-1 N,R,Philadelphia,Philadelphia,PA,19131,US,US/Eastern,KPHL,2019-12-25 03:54:00,30.0,30.0,59.0,30.16,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,4,Wed,105.0
A-512268,MapQuest,201.0,High,2019-12-25 05:12:26,2019-12-25 06:12:05,40.729939,-74.039688,,,0.0,Accident on I-78 Holland Tunnel Tube Westbound from Exits 1 2 3 4 5 Laight St to 12th St.,,Holland Tunl E,R,Jersey City,Hudson,NJ,07310,US,US/Eastern,KJRB,2019-12-25 04:51:00,34.0,30.0,50.0,30.05,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,5,Wed,60.0
A-512269,MapQuest,201.0,High,2019-12-25 05:17:25,2019-12-25 06:02:04,40.799477,-73.488541,,,0.0,Accident on I-495 Eastbound at Exits 44 44N 44S NY-135 Exits 13E 13W.,,Long Island Expy W,R,Woodbury,Nassau,NY,11797,US,US/Eastern,KFRG,2019-12-25 04:53:00,29.0,29.0,72.0,30.04,10.0,NE,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2019,2019-12-25,Dec,25,5,Wed,45.0
A-512270,MapQuest,201.0,Low,2019-12-25 05:53:32,2019-12-25 09:27:25,39.943111,-75.289711,,,0.0,Accident on Marshall Rd at Shadeland Ave.,3201.0,Marshall Rd,R,Drexel Hill,Delaware,PA,19026-2918,US,US/Eastern,KPHL,2019-12-25 05:54:00,28.0,23.0,63.0,30.18,10.0,NNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2019,2019-12-25,Dec,25,5,Wed,214.0
A-512271,MapQuest,201.0,High,2019-12-25 07:48:40,2019-12-25 09:37:28,41.512169,-74.069778,,,25.6499996185,Accident on I-87 Southbound between Exit 18 NY-299 Main St and Exit 17 I-84 Exits 7A 7B.,,I-84 E,R,Newburgh,Orange,NY,12550,US,US/Eastern,KSWF,2019-12-25 07:45:00,19.0,19.0,100.0,29.72,10.0,Calm,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,7,Wed,109.0
A-512272,MapQuest,201.0,Low,2019-12-25 08:40:35,2019-12-25 12:24:46,39.86108,-75.074409,,,13.4399995804,Left hand shoulder blocked due to accident on New Jersey Tpke Southbound between Exit 4 NJ-73 and Exit 3 NJ-168 Black Horse Pike.,,New Jersey Tpke S,R,Runnemede,Camden,NJ,08078,US,US/Eastern,KPHL,2019-12-25 08:54:00,34.0,34.0,61.0,30.2,10.0,Calm,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,8,Wed,224.0
A-512273,MapQuest,201.0,Low,2019-12-25 10:25:20,2019-12-25 11:36:00,40.527245,-74.298546,,,0.0,Right lane blocked due to accident on Garden State Pkwy Northbound at Exits 125 127 129 I-95 Exit 11.,,Garden State Pkwy S,R,Perth Amboy,Middlesex,NJ,08861,US,US/Eastern,KLDJ,2019-12-25 10:15:00,38.0,38.0,48.0,30.23,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,10,Wed,71.0
A-512274,MapQuest,201.0,Low,2019-12-25 12:11:54,2019-12-25 12:55:47,40.534817,-74.29715,,,0.0,Right lane closed due to accident on US-9 Southbound near I-95 Exit 11.,,US Highway 9 S,R,Woodbridge,Middlesex,NJ,07095,US,US/Eastern,KLDJ,2019-12-25 12:15:00,43.0,43.0,53.0,30.17,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,12,Wed,44.0
A-512275,MapQuest,201.0,Low,2019-12-25 13:26:43,2019-12-25 14:08:00,39.769978,-75.048737,,,5.53000020981,Very slow traffic and right lane closed due to accident on Atlantic City Expy Westbound between Atlantic City Expy and Exit 44 NJ-42.,,Atlantic City Expy W,R,Blackwood,Gloucester,NJ,08012,US,US/Eastern,KPHL,2019-12-25 13:54:00,47.0,44.0,50.0,30.12,10.0,West,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,41.0
A-512276,MapQuest,201.0,Low,2019-12-25 13:28:36,2019-12-25 21:22:39,40.534748,-74.297173,,,0.0,Right lane closed due to accident on US-9 Southbound near CR 184 Pond Rd.,,US Highway 9 S,R,Woodbridge,Middlesex,NJ,07095,US,US/Eastern,KLDJ,2019-12-25 13:35:00,45.0,45.0,52.0,30.15,10.0,Calm,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,474.0
A-512277,MapQuest,201.0,High,2019-12-25 13:30:32,2019-12-25 14:07:00,40.836288,-73.873512,,,0.0,Very slow traffic and center lane blocked due to accident on I-95 Cross Bronx Expy Northbound at Exits 4B 5A 5B 177th St.,,Cross Bronx Expy E,R,Bronx,Bronx,NY,10472,US,US/Eastern,KLGA,2019-12-25 13:51:00,42.0,37.0,60.0,30.13,10.0,NE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,36.0
A-512278,MapQuest,343.0,Low,2019-12-25 13:29:31,2019-12-25 14:14:07,40.93037,-74.59034,,,0.0,Earlier accident on NJ-15 Northbound near Berkshire Valley Rd.,679.0,Berkshire Valley Rd,L,Wharton,Morris,NJ,07885-1208,US,US/Eastern,KMMU,2019-12-25 13:45:00,45.0,41.0,57.0,29.95,10.0,SW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,45.0
A-512279,MapQuest,201.0,Low,2019-12-25 13:38:23,2019-12-25 15:22:45,40.704853,-74.245758,,,0.0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound near Exits 142A 142B I-78 Exit 52.,,Garden State Pkwy N,R,Hillside,Union,NJ,07205,US,US/Eastern,KEWR,2019-12-25 13:51:00,45.0,45.0,53.0,30.13,10.0,Variable,3.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,104.0
A-512280,MapQuest,241.0,High,2019-12-25 13:43:15,2019-12-25 14:57:48,39.983932,-75.208275,,,0.0,Lane blocked and very slow traffic due to accident on I-76 Eastbound after Exit 341 Montgomery Dr.,,I-76 E,R,Philadelphia,Philadelphia,PA,19131,US,US/Eastern,KPHL,2019-12-25 13:54:00,47.0,44.0,50.0,30.12,10.0,West,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2019,2019-12-25,Dec,25,13,Wed,75.0
